CRN,Sub,Num,Seq,Crd,Desc,Seats,Waitlist,Days,Time,Room,Faculty
75367,BADM,336,D01,3,Entrepreneurship I,14/25,0,MWF,0800-0850,East Hall 217,
75368,BADM,336,DT1,3,Entrepreneurship I,0/25,0,,,,
70829,BADM,344,D01,3,Managerial Communications,13/25,0,TuTh,0930-1045,East Hall 010,Wendy Simmermon
70831,BADM,344,DT1,3,Managerial Communications,9/25,0,,,,
70833,BADM,350,D01,3,Legal Environment of Business,12/25,0,MWF,1400-1450,East Hall 010,Scott K Morstad
70835,BADM,350,DT1,3,Legal Environment of Business,12/25,0,,,,Scott K Morstad
70856,BADM,360,D01,3,Organization and Management,3/25,0,TuTh,0800-0915,East Hall 217,
70858,BADM,360,DT1,3,Organization and Management,0/25,0,,,,
74410,BADM,370,D01,3,Marketing,0/25,0,TuTh,0930-1045,East Hall 217,Deb Tech
74411,BADM,370,DT1,3,Marketing,9/25,0,,,,Deb Tech
80673,BADM,415,D01,3,Financial Institutions,11/25,0,MWF,1100-1150,East Hall 018,Yen-Ling Chang
80674,BADM,415,DT1,3,Financial Institutions,16/25,0,,,,Yen-Ling Chang
80680,BADM,420,D01,3,Financial Technology,18/25,0,MWF,1500-1550,East Hall 003,Yen-Ling Chang
80681,BADM,420,DT1,3,Financial Technology,7/25,0,,,,Yen-Ling Chang
70877,BADM,425,D01,3,Production/Operations Management,19/25,0,TuTh,1430-1545,East Hall 010,
70878,BADM,425,DT1,3,Production/Operations Management,6/25,0,,,,
71083,BADM,435,D01,3,Management Technology & Innovation,18/25,0,MWF,1400-1450,East Hall 018,
76989,BADM,435,DT1,3,Management Technology & Innovation,9/25,0,,,,
71089,BADM,468,D01,3,International Management,19/25,0,TuTh,0930-1045,East Hall 108,
71091,BADM,468,DT1,3,International Management,14/25,0,,,,
80675,BADM,476,D01,3,Marketing Research,21/25,0,MWF,0900-0950,East Hall 003,
80676,BADM,476,DT1,3,Marketing Research,15/25,0,,,,
71093,BADM,481,D01,3,Promotional Management,18/25,0,TuTh,1300-1415,East Hall 217,Deb Tech
70603,BADM,481,DT1,3,Promotional Management,17/25,0,,,,Deb Tech
74412,BADM,482,D01,3,Business Policy and Strategy,15/25,0,TuTh,1300-1415,East Hall 010,
74413,BADM,482,DT1,3,Business Policy and Strategy,5/25,0,,,,
75177,BADM,494,DZ1,1 TO 12,Internship,5/5,0,,,,Deb Tech
80677,BADM,730,DT1,3,Supply Chain Management,22/25,0,,,,
80678,BADM,755,DT1,3,Organizational Behavior & Human Resources Management Process,14/25,0,,,,
80679,BADM,782,DT1,3,Strategic Management and Decision Making,16/25,0,,,,
72812,CHEM,112,D01,3,General Chemistry I,23/40,0,MWF,0900-0950,Ruth Habeger Science Center 135,Jeffrey E Elbert
73561,CHEM,112L,D01,1,General Chemistry I Lab,12/20,0,Tu,1300-1450,Ruth Habeger Science Center 136,Jeffrey E Elbert
73562,CHEM,112L,D02,1,General Chemistry I Lab,12/20,0,Tu,0800-0950,Ruth Habeger Science Center 136,Jeffrey E Elbert
73559,CHEM,326,D01,3,Organic Chemistry I,5/10,0,MWF,1200-1250,Ruth Habeger Science Center 139,Jeffrey E Elbert
80715,CHEM,326,DT1,3,Organic Chemistry I,7/15,0,,,,Jeffrey E Elbert
73560,CHEM,326L,D01,1,Organic Chemistry I Lab,5/10,0,Th,1000-1250,Ruth Habeger Science Center 139,Jeffrey E Elbert
80716,CHEM,326L,DT1,1,Organic Chemistry I Lab,7/15,0,,,,Jeffrey E Elbert
72820,CHEM,498,D01,1 TO 12,Research,10/10,0,,,,Jeffrey E Elbert
80640,CIV,100,D01,3,American Civics,1/24,0,MWF,1100-1150,Beadle Hall 302,Abbey Shimer
80641,CIV,100,D02,3,American Civics,18/24,0,MWF,1400-1450,Beadle Hall 302,Abbey Shimer
80642,CIV,100,DT1,3,American Civics,21/24,0,,,,Abbey Shimer
75723,CMST,101,D01,3,Foundations of Communication,21/24,0,MWF,0900-0950,Beadle Hall 109,Bethany R Lutovsky
75724,CMST,101,D02,3,Foundations of Communication,20/24,0,MWF,1000-1050,Beadle Hall 206,Kelly D MacLeod
75725,CMST,101,D03,3,Foundations of Communication,23/24,0,MWF,1100-1150,Beadle Hall 206,Kelly D MacLeod
75726,CMST,101,D04,3,Foundations of Communication,20/24,0,TuTh,0930-1045,Beadle Hall 205,Bethany R Lutovsky
75727,CMST,101,D05,3,Foundations of Communication,24/24,0,TuTh,1100-1215,Beadle Hall 205,Bethany R Lutovsky
75728,CMST,101,DEM,3,Foundations of Communication,24/24,0,TuTh,1340-1455,Off Campus MADIHS,Bethany R Lutovsky
75729,CMST,101,DT1,3,Foundations of Communication,12/25,0,,,,
75730,CMST,101,DT2,3,Foundations of Communication,24/25,0,,,,
75731,CMST,101,DT3,3,Foundations of Communication,24/25,0,,,,
75732,CMST,101,DT4,3,Foundations of Communication,25/25,0,,,,
75733,CMST,101,DT5,3,Foundations of Communication,25/25,0,,,,
76173,CMST,101,DT6,3,Foundations of Communication,25/25,0,,,,
75734,CMST,215,DH1,3,Honors: Public Speaking,11/24,0,MWF,1100-1150,Beadle Hall 205,Matthew Bruce Ingram
79215,CMST,215,DH2,3,Honors: Public Speaking,23/24,0,MWF,1500-1550,Beadle Hall 205,Matthew Bruce Ingram
77923,CET,432,DT1,3,Esports Foundations and Systems,14/15,0,,,,Kevin D Smith
77924,CET,532,DT1,3,Esports Foundations and Systems,10/10,0,,,,Kevin D Smith
80692,CET,712,DT1,3,Instructional Design for Interactive Learning,14/25,0,,,,Megan Nicole Schuh
72181,CET,756,DT1,3,Introduction to Instructional Programming,22/25,0,,,,Tina Boldt-Belden
78758,CET,785,DT1,3,Research Methods in Education Technology,18/25,0,,,,Katie Lyn Anderson
72997,GAME,101,D01,1,Game Design Core Experience,39/40,0,W,1200-1250,Beacom Institute of Technology 135,Peter C Britton
79285,GAME,110,DT1,3,Introduction to Esports,18/25,0,,,,Andy William Roland
73005,GAME,111,D01,3,Introduction to Game Design,23/24,0,TuTh,1100-1215,Beacom Institute of Technology 135,Peter C Britton
73008,GAME,220,D01,3,Game Programming Tools,10/27,0,MWF,1400-1450,Beacom Institute of Technology 135,Peter C Britton
73010,GAME,261,D01,3,Worldbuilding,12/30,0,TuTh,1100-1215,Beacom Institute of Technology 135,Erik John Pederson
73014,GAME,333,D01,3,Project and Process I,16/24,0,MWF,0800-0850,Beacom Institute of Technology 135,Peter C Britton/Erik John Pederson
81154,GAME,355,D01,3,Experimental Games I,25/25,0,TuTh,1300-1415,Beacom Institute of Technology 131,Erik John Pederson
75355,GAME,363,D01,3,Game Genres: Deep Games,21/24,0,MWF,1100-1150,Beacom Institute of Technology 135,Erik John Pederson
73017,GAME,365,D01,3,Classical Myth and Media,11/12,0,TuTh,0930-1045,Beacom Institute of Technology 135,Erik John Pederson
73041,GAME,444,D01,3,Project Development I,16/24,0,MWF,0800-0850,Beacom Institute of Technology 135,Peter C Britton/Erik John Pederson
75738,GAME,475,D01,3,Level Design II,16/24,0,TuTh,1300-1415,Beacom Institute of Technology 135,Peter C Britton
78092,GAME,487,DT1,3,"Facility, Risk, and Event Management in Sports",24/25,0,,,,Scott Wayne Klungseth
72823,CIS,123,D01,3,Problem Solving & Programming,17/25,0,MWF,1400-1450,East Hall 003,Mohammad Tafiqur Rahman
72826,CIS,123,DT1,3,Problem Solving & Programming,1/25,0,,,,Mohammad Tafiqur Rahman
80771,CIS,123,DT2,3,Problem Solving & Programming,14/25,0,,,,
74750,CIS,206,DT1,1,Adv Comp Appl:,13/25,0,,,,Laxmi Manasa Gorugantu
74755,CIS,207,DT1,1,Advanced Applications: Spreadsheet,0/25,0,,,,Laxmi Manasa Gorugantu
74756,CIS,208,DT1,1,Advanced Applications: Database,13/25,0,,,,Laxmi Manasa Gorugantu
75253,CIS,210,D01,1,QuickBooks I,10/25,0,TuTh,1100-1215,East Hall 010,Wendy Simmermon
74704,CIS,210,DT1,1,QuickBooks I,22/25,0,,,,Wendy Simmermon
75254,CIS,211,D01,1,Quickbooks II,12/25,0,TuTh,1100-1215,East Hall 010,Wendy Simmermon
74705,CIS,211,DT1,1,Quickbooks II,21/25,0,,,,Wendy Simmermon
73564,CIS,275,D01,3,Web Application Programming I,17/25,0,TuTh,0930-1045,East Hall 003,Mohammad Tafiqur Rahman
73565,CIS,275,DT1,3,Web Application Programming I,24/25,0,,,,Mohammad Tafiqur Rahman
72940,CIS,325,D01,3,Management Information Systems,0/25,0,MWF,1100-1150,Kennedy Center 117,Laxmi Manasa Gorugantu
72941,CIS,325,DT1,3,Management Information Systems,0/25,2,,,,Abeer Alkhwaldi
72944,CIS,332,D01,3,Structured Systems Analysis and Design,16/25,0,TuTh,1300-1415,East Hall 018,Laxmi Manasa Gorugantu
72948,CIS,332,DT1,3,Structured Systems Analysis and Design,21/25,0,,,,Laxmi Manasa Gorugantu
72965,CIS,372,D01,3,Programming for Analytics,7/25,0,TuTh,1100-1215,East Hall 003,Andy Behrens
72968,CIS,372,DT1,3,Programming for Analytics,16/25,0,,,,Andy Behrens
72970,CIS,375,DT1,3,Web Application Programming II,22/25,0,,,,Mohammad Tafiqur Rahman
77907,CIS,378,D01,3,Applied Artificial Intelligence and Applications,25/25,0,TuTh,1100-1215,Tunheim Classroom Building 111,David Zeng
77908,CIS,378,DT1,3,Applied Artificial Intelligence and Applications,25/25,0,,,,David Zeng
75164,CIS,438,D01,3,Advanced Project Management,23/25,0,TuTh,0930-1045,Tunheim Classroom Building 109,Cherie B Noteboom
72976,CIS,438,DT1,3,Advanced Project Management,19/25,0,,,,Cherie B Noteboom
75165,CIS,474,D01,3,Business Intelligence and Big Data,19/25,0,MWF,0900-0950,East Hall 108,Abeer Alkhwaldi
75166,CIS,474,DT1,3,Business Intelligence and Big Data,22/25,0,,,,Abeer Alkhwaldi
72983,CIS,484,D01,3,Database Management Systems,11/25,0,MWF,1000-1050,East Hall 010,Abeer Alkhwaldi
72990,CIS,484,DT1,3,Database Management Systems,21/25,0,,,,Abeer Alkhwaldi
72998,CIS,494,DZ1,1 TO 8,Internship,5/5,0,,,,Deb Tech
73629,CSC,105,D01,3,Introduction to Computers,24/24,0,MWF,0800-0850,East Hall 108,Farishta Rahman
73631,CSC,105,D02,3,Introduction to Computers,23/24,0,MWF,0900-0950,Beacom Institute of Technology 112,Jennifer Annette Funke
73635,CSC,105,D03,3,Introduction to Computers,19/24,0,MWF,1000-1050,Beacom Institute of Technology 112,Jennifer Annette Funke
73639,CSC,105,D04,3,Introduction to Computers,24/24,0,MWF,1100-1150,East Hall 108,Farishta Rahman
73641,CSC,105,D05,3,Introduction to Computers,24/24,0,MWF,1500-1550,Beacom Institute of Technology 112,Jennifer Annette Funke
73642,CSC,105,D06,3,Introduction to Computers,24/24,0,TuTh,0800-0915,Beacom Institute of Technology 112,
73643,CSC,105,D07,3,Introduction to Computers,24/24,0,TuTh,0930-1045,Beacom Institute of Technology 112,Kathy Engbrecht
73645,CSC,105,D08,3,Introduction to Computers,24/24,0,TuTh,1100-1215,Beacom Institute of Technology 112,Kathy Engbrecht
73647,CSC,105,D09,3,Introduction to Computers,25/25,0,TuTh,1430-1545,Beacom Institute of Technology 117,Farishta Rahman
73648,CSC,105,D10,3,Introduction to Computers,24/24,0,MWF,1400-1450,Beacom Institute of Technology 112,Jennifer Annette Funke
73652,CSC,105,DH1,3,Introduction to Computers,0/0,0,MTuWThF,0800-0825,East Hall 100,
73653,CSC,105,DH2,3,Introduction to Computers,23/25,0,MTuWThF,1100-1125,East Hall 100,Tom L Halverson
71508,CSC,105,DT1,3,Introduction to Computers,20/25,0,,,,Farishta Rahman
72782,CSC,105,DT2,3,Introduction to Computers,23/25,0,,,,Steven Parker Gingras
72784,CSC,105,DT3,3,Introduction to Computers,25/25,0,,,,Steven Parker Gingras
73850,CSC,134,D01,3,Introduction to Cyber,22/25,0,MWF,0900-0950,Beacom Institute of Technology 117,Jenny Leigh Schulte
73851,CSC,134,D02,3,Introduction to Cyber,20/25,0,MWF,1000-1050,Beacom Institute of Technology 117,
73852,CSC,134,D03,3,Introduction to Cyber,21/25,0,MWF,1100-1150LocationTBD,,
79564,CSC,134,DCA,3,Introduction to Cyber,25/25,0,,,,Jenny Leigh Schulte
71510,CSC,134,DT1,3,Introduction to Cyber,17/25,0,,,,Gillian Anne Morris
81043,CSC,134,DT2,3,Introduction to Cyber,25/25,0,,,,Jenny Leigh Schulte
72793,CSC,145,DT1,3,Cyber Security Fundamentals,-2/0,0,,,,
71512,CSC,150,D01,3,Computer Science I,23/24,0,MWF,0900-0950,Beacom Institute of Technology 213,
73854,CSC,150,D02,3,Computer Science I,17/24,0,MWF,1000-1050,Beacom Institute of Technology 213,
73855,CSC,150,D03,3,Computer Science I,24/24,0,MWF,1100-1150,Kennedy Center 112,
73857,CSC,150,D04,3,Computer Science I,23/24,0,TuTh,1300-1415,Beacom Institute of Technology 112,
73853,CSC,150,D05,3,Computer Science I,24/24,0,TuTh,1430-1545,Beacom Institute of Technology 112,
73856,CSC,150,D06,3,Computer Science I,24/24,0,MWF,1500-1550,Kennedy Center 112,
77936,CSC,150,DC2,3,Computer Science I,0/0,0,,,,
77935,CSC,150,DCA,3,Computer Science I,25/25,0,,,,Nicholas Daniel Handberg
73858,CSC,150,DH1,3,Computer Science I,0/0,0,MTuWThF,0826-0850,East Hall 100,
73862,CSC,150,DH2,3,Computer Science I,24/25,0,MTuWThF,1126-1150,East Hall 100,Tom L Halverson
71511,CSC,150,DT1,3,Computer Science I,20/25,0,,,,
72794,CSC,150,DT2,3,Computer Science I,25/25,0,,,,
72796,CSC,150,DT4,3,Computer Science I,24/25,0,,,,Zainab Albujasim
76592,CSC,161,D01,3,"Computer Hardware, Data Communications, and Networking",24/25,0,MWF,1000-1050,East Hall 108,
76593,CSC,161,D02,3,"Computer Hardware, Data Communications, and Networking",23/25,0,MWF,1100-1150,Beacom Institute of Technology 112,Jennifer Annette Funke
74934,CSC,163,D01,3,Hardware Virtualization and Data Communication,17/25,0,MWF,0800-0850,East Hall 018,Rob Allen Richardson
75039,CSC,163,DEC,3,Hardware Virtualization and Data Communication,25/25,0,,,,Bradley James Brockmueller
74935,CSC,163,DT1,3,Hardware Virtualization and Data Communication,18/25,0,,,,Eric A Holm
74936,CSC,163,DT2,3,Hardware Virtualization and Data Communication,24/25,0,,,,Eric A Holm
80727,CSC,230,D01,1,Tech Foundations: Ethics,20/25,0,TuTh,1100-1215,East Hall 201,
80728,CSC,230,DT1,1,Tech Foundations: Ethics,17/25,0,,,,
77946,CSC,232,D01,1,Tech Foundations: Scripting,20/25,0,TuTh,1100-1215,East Hall 201,
77947,CSC,232,DT1,1,Tech Foundations: Scripting,18/25,0,,,,
80729,CSC,233,D01,1,Tech Foundations: Secure AI Lifecycle,21/25,0,TuTh,1100-1215,East Hall 201,
80748,CSC,233,DT1,1,Tech Foundations: Secure AI Lifecycle,20/25,0,,,,
73868,CSC,234,D01,3,Software Security,15/25,0,TuTh,0800-0915,East Hall 018,Rob Allen Richardson
73869,CSC,234,D02,3,Software Security,0/25,0,TuTh,0930-1045,East Hall 018,Ahmad Tawfiq Al-Hammouri
73870,CSC,234,D03,3,Software Security,1/25,0,TuTh,1100-1215,Beacom Institute of Technology 231,
73871,CSC,234,D04,3,Software Security,14/25,0,TuTh,1430-1545,East Hall 018,Rob Allen Richardson
74951,CSC,234,D05,3,Software Security,11/25,0,TuTh,0930-1045,Beacom Institute of Technology 231,Shawn Gregory Zwach
73872,CSC,234,DT1,3,Software Security,9/25,0,,,,Rob Allen Richardson
73874,CSC,234,DT2,3,Software Security,24/25,0,,,,Ahmad Tawfiq Al-Hammouri
74741,CSC,234,DT3,3,Software Security,22/25,0,,,,
77948,CSC,247,D01,3,Introduction to Artificial Intelligence,17/25,0,MWF,1500-1550,East Hall 108,
77949,CSC,247,DT1,3,Introduction to Artificial Intelligence,19/25,0,,,,
73894,CSC,250,D01,3,Computer Science II,23/25,0,MWF,1400-1450,East Hall 108,Nicholas Daniel Handberg
73896,CSC,250,D02,3,Computer Science II,22/25,0,MWF,1100-1150,Beacom Institute of Technology 117,Nicholas Daniel Handberg
79136,CSC,250,D03,3,Computer Science II,23/25,0,MWF,1100-1150,Beacom Institute of Technology 213,
79565,CSC,250,DCA,3,Computer Science II,25/25,0,,,,Nicholas Daniel Handberg
73898,CSC,250,DT1,3,Computer Science II,11/25,0,,,,Sophia Ivy Lewis
73899,CSC,250,DT2,3,Computer Science II,23/25,0,,,,Sophia Ivy Lewis
73900,CSC,250,DT3,3,Computer Science II,25/25,0,,,,
73902,CSC,260,D01,3,Object Oriented Design,1/25,0,TuTh,1430-1545,East Hall 100,Nicholas Daniel Handberg
73903,CSC,260,DT1,3,Object Oriented Design,16/25,0,,,,Nicholas Daniel Handberg
76009,CSC,274,D01,3,Creative Coding,16/20,0,TuTh,0930-1045,East Hall 100,
79604,CSC,275,D01,3,Introduction to Quantum Computing,21/25,0,MWF,1000-1050,East Hall 018,Peng Guo
79603,CSC,275,DT1,3,Introduction to Quantum Computing,25/25,0,,,,Peng Guo
74937,CSC,285,D01,3,Networking I,20/25,0,TuTh,0800-0915,Beacom Institute of Technology 213,Brent L Tulloss
74938,CSC,285,D02,3,Networking I,9/25,0,TuTh,1100-1215,Beacom Institute of Technology 213,Brent L Tulloss
74939,CSC,285,D03,3,Networking I,14/25,0,TuTh,1300-1415,Beacom Institute of Technology 213,Brent L Tulloss
74940,CSC,285,D04,3,Networking I,24/25,0,TuTh,1430-1545,Beacom Institute of Technology 213,Brent L Tulloss
74941,CSC,285,DT1,3,Networking I,11/25,0,,,,
74942,CSC,285,DT2,3,Networking I,22/25,0,,,,
73905,CSC,300,D02,3,Data Structures,13/25,0,MWF,1500-1550,East Hall 010,Youssef Harrath
73906,CSC,300,D03,3,Data Structures,17/50,0,MWF,0900-0950,East Hall 100,Tom L Halverson
73907,CSC,300,D04,3,Data Structures,2/25,0,MWF,1000-1050,East Hall 003,Christina Yemane Mulu
75757,CSC,300,D05,3,Data Structures,18/25,0,MWF,0800-0850,East Hall 003,Christina Yemane Mulu
73909,CSC,300,DT1,3,Data Structures,10/25,0,,,,Christina Yemane Mulu
73911,CSC,300,DT4,3,Data Structures,18/25,0,,,,Youssef Harrath
73912,CSC,314,D01,3,Assembly Language,2/25,0,MWF,1400-1450,East Hall 100,Tom L Halverson
81236,CSC,314,D02,3,Assembly Language,23/25,0,MWF,0800-0850,East Hall 100,Tom L Halverson
75313,CSC,314,D03,3,Assembly Language,5/25,0,MWF,1500-1550,East Hall 100,Ahmad Tawfiq Al-Hammouri
73859,CSC,314,DT1,3,Assembly Language,12/25,0,,,,Ahmad Tawfiq Al-Hammouri
73860,CSC,314,DT2,3,Assembly Language,24/25,0,,,,Jihene Kaabi Ep Harrath
73861,CSC,321,D01,3,Cyber Law and Policy,1/25,0,MWF,1400-1450,Beacom Institute of Technology 117,Milinda Rambel-Stone
73863,CSC,321,D02,3,Cyber Law and Policy,19/25,0,MWF,1500-1550,Beacom Institute of Technology 117,Milinda Rambel-Stone
73864,CSC,321,DT1,3,Cyber Law and Policy,7/25,0,,,,Steven Parker Gingras
73865,CSC,321,DT2,3,Cyber Law and Policy,25/25,0,,,,Steven Parker Gingras
76533,CSC,334,D01,3,Web Development,11/25,0,TuTh,0800-0915,Beacom Institute of Technology 117,Aaron David Ingalls
76534,CSC,334,D02,3,Web Development,0/25,0,TuTh,0930-1045,Beacom Institute of Technology 117,Aaron David Ingalls
76535,CSC,334,D03,3,Web Development,0/25,0,TuTh,1100-1215,Beacom Institute of Technology 117,Aaron David Ingalls
76465,CSC,334,DT1,3,Web Development,1/25,0,,,,Aaron David Ingalls
