CRN,Sub,Num,Seq,Crd,Desc,Current Seats,Max Seats,Waitlist,Days,Start Time,End Time,Room,Faculty
73856,CSC,150,D06,3,Computer Science I,24,24,0,MWF,15:00,15:50,Kennedy Center 112,
76192,ACCT,210,D02,3,Principles of Accounting I,21,25,0,TuTh,13:00,14:15,East Hall 003,
77905,BADM,201,D01,3,Fundamentals of AI in Organizations,19,25,0,TuTh,09:30,10:45,Tunheim Classroom Building 111,
70773,ENGL,201,D05,3,Composition II,9,24,0,MWF,10:00,10:50,Beadle Hall 006,
70754,ENGL,101,D03,3,Composition I,18,24,0,MWF,10:00,10:50,Beadle Hall 205,
75741,MATH,201,D04,3,Introduction to Discrete Mathematics,17,20,0,MWF,11:00,11:50,Ruth Habeger Science Center 114,
74431,MATH,201,D01,3,Introduction to Discrete Mathematics,18,20,0,MWF,09:00,09:50,Ruth Habeger Science Center 114,
78298,CSC,478,D01,3,Artificial Intelligence Tools and Frameworks,18,25,0,TuTh,16:00,17:15,East Hall 108,
71234,INFS,605,D01,3,Foundations of Programming,24,25,0,Tu,11:00,13:30,Tunheim Classroom Building 109,
79118,INFA,702,D01,3,Introduction to Data Privacy,23,25,0,TuTh,16:00,17:15,East Hall 010,
73894,CSC,250,D01,3,Computer Science II,23,25,0,MWF,14:00,14:50,East Hall 108,
77046,GEOG,131,D01,3,Physical Geography: Weather and Climate,16,25,0,MWF,12:00,12:50,Ruth Habeger Science Center 121,
77948,CSC,247,D01,3,Introduction to Artificial Intelligence,17,25,0,MWF,15:00,15:50,East Hall 108,
79213,ARTD,441,D01,3,3-D Design/Production,17,25,0,TuTh,08:00,09:15,Beacom Institute of Technology 114,
75770,ELED,455,D01,3,Evidence-Based Reading (K-3),20,25,0,MWF,09:00,09:50,Kennedy Center 105,
73631,CSC,105,D02,3,Introduction to Computers,23,24,0,MWF,09:00,09:50,Beacom Institute of Technology 112,
77941,CSC,547,D01,3,Artificial Intelligence,25,25,0,TuTh,14:30,15:45,Beacom Institute of Technology 233,
73061,GS,100,DC2,0 TO 1,University Experience,84,85,0,M,12:00,12:50,East Hall 100,
75727,CMST,101,D05,3,Foundations of Communication,24,24,0,TuTh,11:00,12:15,Beadle Hall 205,
73883,CSC,420,D01,3,Cellular and Mobile Communications,0,25,0,MWF,09:00,09:50,Beacom Institute of Technology 233,
73641,CSC,105,D05,3,Introduction to Computers,24,24,0,MWF,15:00,15:50,Beacom Institute of Technology 112,
70696,BIOL,101L,D01,1,Biology Survey I Lab,18,25,0,Tu,13:00,14:50,Ruth Habeger Science Center 106,
79215,CMST,215,DH2,3,Honors: Public Speaking,23,24,0,MWF,15:00,15:50,Beadle Hall 205,
73645,CSC,105,D08,3,Introduction to Computers,24,24,0,TuTh,11:00,12:15,Beacom Institute of Technology 112,
73559,CHEM,326,D01,3,Organic Chemistry I,4,10,0,MWF,12:00,12:50,Ruth Habeger Science Center 139,
70700,BIOL,101L,D02,1,Biology Survey I Lab,21,25,0,Tu,10:30,12:25,Ruth Habeger Science Center 106,
74408,ART,231,D01,3,Painting I,12,18,0,TuTh,16:00,18:30,Beadle Hall 302,
74051,PHYS,185,D01,2,Solar System Astronomy,13,24,0,MW,14:00,14:50,Ruth Habeger Science Center 143,
79493,SPED,417,D01,3,Vocational-Transitional Programming,22,25,0,TuTh,11:00,12:15,Kennedy Center 105,
70788,BADM,310,D01,3,Business Finance,9,25,0,MWF,09:00,09:50,East Hall 018,
70385,ART,111,D01,3,Drawing I,18,18,0,TuTh,11:00,13:30,Beadle Hall 302,
77090,ENGL,201,D01,3,Composition II,17,24,0,TuTh,14:30,15:45,Beadle Hall 109,
70856,BADM,360,D01,3,Organization and Management,3,25,0,TuTh,08:00,09:15,East Hall 217,
70790,BIOL,151L,D01,1,General Biology I Lab,30,30,0,Th,08:00,09:50,Ruth Habeger Science Center 109,
73884,CSC,420,D02,3,Cellular and Mobile Communications,0,25,1,MWF,10:00,10:50,Beacom Institute of Technology 233,
80698,MATH,413,D01,3,Abstract Algebra I,14,20,0,TuTh,13:00,14:15,Ruth Habeger Science Center 113,
73311,PSYC,101,D01,3,General Psychology,18,25,0,MWF,09:00,09:50,Kennedy Center 104,
76178,ENGL,032,DK1,2,Basic Writing,11,12,0,TuTh,10:00,10:50,Beadle Hall 010,
70761,ENGL,101,D07,3,Composition I,24,24,0,MWF,09:00,09:50,Beadle Hall 305,
74125,CSC,436,D03,3,Offensive Network Security,11,25,0,TuTh,08:00,09:15,Beacom Institute of Technology 231,
75253,CIS,210,D01,1,QuickBooks I,10,25,0,TuTh,11:00,12:15,East Hall 010,
73643,CSC,105,D07,3,Introduction to Computers,24,24,0,TuTh,09:30,10:45,Beacom Institute of Technology 112,
78148,ELED,360,D01,3,K-8 Social Science Methods,8,25,0,MWF,08:00,08:50,Kennedy Center 117,
73041,GAME,444,D01,3,Project Development I,16,24,0,MWF,08:00,08:50,Beacom Institute of Technology 135,
73906,CSC,300,D03,3,Data Structures,23,50,0,MWF,09:00,09:50,East Hall 100,
79494,SPED,460,D01,3,Family Systems and Professional Collaboration,8,25,0,TuTh,12:30,13:45,Kennedy Center 105,
74290,CSC,722,D01,3,Machine Learning Fundamentals,21,25,0,MW,14:00,15:15,Beacom Institute of Technology 233,
71204,HON,102,DH1,1,Introduction to Honors,18,18,0,W,14:00,14:50,Ruth Habeger Science Center 132,
73629,CSC,105,D01,3,Introduction to Computers,24,24,0,MWF,08:00,08:50,East Hall 108,
74951,CSC,234,D05,3,Software Security,13,25,0,TuTh,09:30,10:45,Beacom Institute of Technology 231,
75303,PE,300,D01,3,Applied Sport and Exercise Science,13,25,0,TuTh,09:30,10:45,Kennedy Center 123,
71441,INFS,762,D01,3,Data Warehousing & Data Mining,24,25,0,Tu,13:00,15:30,Kennedy Center 122,
73896,CSC,250,D02,3,Computer Science II,22,25,0,MWF,11:00,11:50,Beacom Institute of Technology 117,
71512,CSC,150,D01,3,Computer Science I,23,24,0,MWF,09:00,09:50,Beacom Institute of Technology 213,
75909,EXS,376,D01,3,Technology Integration,13,15,0,TuTh,12:30,13:45,Kennedy Center 123,
75831,CSC,402,D01,3,Mathematical Foundations of Artificial Intelligence,2,25,0,MW,15:00,16:15,East Hall 018,
70722,ART,121,D01,3,Design I 2D,18,20,0,MWF,14:00,15:40,Beadle Hall 303,
71089,BADM,468,D01,3,International Management,20,25,0,TuTh,09:30,10:45,East Hall 108,
72944,CIS,332,D01,3,Structured Systems Analysis and Design,16,25,0,TuTh,13:00,14:15,East Hall 018,
75711,INFS,830,D01,3,Decision Support Systems,25,25,0,W,15:00,17:30,East Hall 201,
74128,CSC,447,D01,3,Artificial Intelligence,4,25,0,TuTh,14:30,15:45,Beacom Institute of Technology 233,
80673,BADM,415,D01,3,Financial Institutions,11,25,0,MWF,11:00,11:50,East Hall 018,
75355,GAME,363,D01,3,Game Genres: Deep Games,21,24,0,MWF,11:00,11:50,Beacom Institute of Technology 135,
73564,CIS,275,D01,3,Web Application Programming I,19,25,0,TuTh,09:30,10:45,East Hall 003,
70593,ELED,320,D01,3,K-8 Science Methods,8,25,0,MWF,09:00,09:50,Kennedy Center 117,
76237,BIOL,101,D04,2,Biology Survey I,21,25,0,TuTh,09:00,09:50,Ruth Habeger Science Center 135,
75740,MATH,201,D05,3,Introduction to Discrete Mathematics,19,20,0,MWF,14:00,14:50,Ruth Habeger Science Center 114,
75164,CIS,438,D01,3,Advanced Project Management,23,25,0,TuTh,09:30,10:45,Tunheim Classroom Building 109,
70779,BIOL,103L,D02,1,Biology Survey II Lab,16,24,0,W,12:30,14:25,Ruth Habeger Science Center 106,
80675,BADM,476,D01,3,Marketing Research,21,25,0,MWF,09:00,09:50,East Hall 003,
80644,DAD,310,D01,3,Sound Design for Film,12,18,0,MWF,14:00,14:50,Tunheim Classroom Building 209,
75726,CMST,101,D04,3,Foundations of Communication,20,24,0,TuTh,09:30,10:45,Beadle Hall 205,
79133,CSC,409,D01,3,Operating Environments,1,25,7,TuTh,09:30,10:45,Beacom Institute of Technology 213,
73063,GS,100,DE2,0 TO 1,University Exper: ELED/SPED,25,25,0,W,12:00,12:50,Kennedy Center 105,
80641,CIV,100,D02,3,American Civics,17,24,0,MWF,14:00,14:50,Beadle Hall 302,
77939,CSC,439,D02,3,Threat Hunting and Incident Response,0,25,3,TuTh,13:00,14:15,Beacom Institute of Technology 233,
74412,BADM,482,D01,3,Business Policy and Strategy,15,25,0,TuTh,13:00,14:15,East Hall 010,
73017,GAME,365,D01,3,Classical Myth and Media,10,12,0,TuTh,09:30,10:45,Beacom Institute of Technology 135,
70692,ELED,459,D01,3,Introduction to Literacy Assessment and Remediation,11,25,0,MWF,11:00,11:50,Kennedy Center 105,
75175,INFS,601,D01,3,Information Systems,23,25,0,Tu,15:00,17:30,Tunheim Classroom Building 109,
73562,CHEM,112L,D02,1,General Chemistry I Lab,12,20,0,Tu,08:00,09:50,Ruth Habeger Science Center 136,
79130,CSC,470,D02,3,Software Engineering,1,25,0,MWF,09:00,09:50,Beacom Institute of Technology 231,
74937,CSC,285,D01,3,Networking I,21,25,0,TuTh,08:00,09:15,Beacom Institute of Technology 213,
74121,CSC,430,D01,3,Windows Administration,1,25,0,TuTh,13:00,14:15,Beacom Institute of Technology 117,
73877,CSC,388,D01,3,Computer Forensics Fundamentals,0,25,4,TuTh,11:00,12:15,East Hall 018,
73862,CSC,150,DH2,3,Computer Science I,25,25,0,MTuWThF,11:26,11:50,East Hall 100,
80637,ART,121,D02,3,Design I 2D,19,20,0,MWF,10:00,11:40,Beadle Hall 303,
73958,PE,207,D01,1,Professional Preparation  Strength Training,0,25,2,MW,13:00,13:50,Zimmermann Hall 001A,
75254,CIS,211,D01,1,Quickbooks II,13,25,0,TuTh,11:00,12:15,East Hall 010,
77187,ART,213,D02,3,Figure Drawing,1,18,0,TuTh,14:30,15:45,Beacom Institute of Technology 114,
81041,CSC,409,D02,3,Operating Environments,18,25,0,MWF,08:00,08:50,Beacom Institute of Technology 213,
73060,GS,100,DC1,0 TO 1,University Experience,145,145,0,M,12:00,12:50,Tunheim Classroom Building 203,
76593,CSC,161,D02,3,"Computer Hardware, Data Communications, and Networking",23,25,0,MWF,11:00,11:50,East Hall 108,
74271,CSC,718,D01,3,Operating Systems & Parallel Programming,18,25,0,TuTh,14:30,15:45,Kennedy Center 105,
75723,CMST,101,D01,3,Foundations of Communication,21,24,0,MWF,09:00,09:50,Beadle Hall 109,
74988,CSC,482,D02,3,Algorithms and Optimization,2,25,0,TuTh,14:30,15:45,East Hall 003,
77837,ENGL,101,D08,3,Composition I,12,12,0,MWF,14:00,14:50,Beadle Hall 205,
80708,BIOL,492,D01,3,Topics: Cells and Tissues,17,20,0,MWF,11:00,11:50,Ruth Habeger Science Center 109,
73062,GS,100,DB2,0 TO 1,University Experience,40,40,0,Th,12:00,12:50,Tunheim Classroom Building 203,
73873,CSC,387,D01,5,Routing and Switching,0,24,3,MWF,11:00,12:25,Beacom Institute of Technology 231,
74415,EXS,350L,D01,1,Exercise Physiology Lab,6,15,0,Th,13:00,14:50,Kennedy Center 110,
70766,BIOL,103L,D01,1,Biology Survey II Lab,19,24,0,Th,13:00,14:50,Ruth Habeger Science Center 106,
73855,CSC,150,D03,3,Computer Science I,24,24,0,MWF,11:00,11:50,Kennedy Center 112,
71158,HIST,121,D01,3,Western Civilization I,19,25,0,MWF,10:00,10:50,Beadle Hall 302,
74124,CSC,436,D02,3,Offensive Network Security,0,25,1,TuTh,09:30,10:45,Beacom Institute of Technology 233,
77047,GEOG,131L,D01,1,Physical Geography  Weather and Climate Lab,16,25,0,Tu,10:30,12:25,Ruth Habeger Science Center 143,
76222,MATH,281,DH1,3,Honors: Intro to Statistics,25,30,0,TuTh,11:00,12:15,Ruth Habeger Science Center 121,
71246,INFS,720,D01,3,System Analysis and Design Using Case Tools,25,25,0,M,09:00,11:30,Tunheim Classroom Building 109,
80647,ENGL,492,D01,3,ST: Online Radicalization,2,3,0,MWF,10:00,10:50,Beadle Hall 304,
73937,ECON,201,D01,3,Principles of Microeconomics,3,25,0,MWF,09:00,09:50,East Hall 217,
76232,CSC,439,D01,3,Threat Hunting and Incident Response,0,25,2,TuTh,08:00,09:15,East Hall 010,
79232,GEOG,132L,DH1,1,Physical Geography  Natural Landscapes Lab,18,20,0,Tu,13:00,14:50,Ruth Habeger Science Center 143,
80714,BIOL,331L,D01,1,Microbiology Lab,0,20,1,Tu,08:00,09:50,Ruth Habeger Science Center 101,
76592,CSC,161,D01,3,"Computer Hardware, Data Communications, and Networking",24,25,0,MWF,10:00,10:50,Beacom Institute of Technology 112,
71238,INFS,608,D01,3,Applied Statistics,24,25,0,W,15:00,17:30,Tunheim Classroom Building 109,
70782,BIOL,145,D01,1,Introduction to Scientific Inquiry,15,16,0,W,12:00,12:45,Ruth Habeger Science Center 101,
71177,INED,211,D01,3,South Dakota American Indian Culture and Education,22,25,0,MWF,10:00,10:50,Kennedy Center 120,
79212,ARTD,350,D01,3,Background Design/Character Design,22,25,0,TuTh,13:00,14:15,Beacom Institute of Technology 114,
80727,CSC,230,D01,1,Tech Foundations: Ethics,20,25,0,TuTh,11:00,12:15,East Hall 201,
70682,BIOL,101,D01,2,Biology Survey I,18,25,0,MW,08:00,08:50,Ruth Habeger Science Center 135,
70437,ARTD,480,D01,3,Digital Photography III,10,20,0,W,16:00,18:30,Beadle Hall 108,
75763,EXS,350L,D02,1,Exercise Physiology Lab,0,15,0,Tu,13:00,14:50,Kennedy Center 110,
76533,CSC,334,D01,3,Web Development,13,25,0,TuTh,08:00,09:15,Beacom Institute of Technology 117,
77918,GS,100,DE1,0 TO 1,University Experience: PE/EXS,25,25,0,Tu,12:00,12:50,Kennedy Center 117,
71093,BADM,481,D01,3,Promotional Management,18,25,0,TuTh,13:00,14:15,East Hall 217,
72997,GAME,101,D01,1,Game Design Core Experience,39,40,0,W,12:00,12:50,Beacom Institute of Technology 135,
75761,PE,341,D01,3,Curriculum Development and Evaluation,18,25,0,TuTh,08:00,09:15,Kennedy Center 122,
71216,INFA,713,D01,3,Managing Security Risks,12,25,0,TuTh,08:00,09:15,East Hall 108,
80670,ACCT,480,D01,3,Advanced Accounting,25,25,0,MWF,12:00,12:50,East Hall 003,
80829,HON,202,DH1,1,Intermediate Honors Seminar,10,25,0,W,12:00,12:50,Beadle Hall 206,
73014,GAME,333,D01,3,Project and Process I,18,24,0,MWF,08:00,08:50,Beacom Institute of Technology 135,
76535,CSC,334,D03,3,Web Development,0,25,0,TuTh,11:00,12:15,Beacom Institute of Technology 117,
74424,MATH,120,D01,3,Trigonometry,31,35,0,TuTh,11:00,12:15,Ruth Habeger Science Center 114,
70595,ELED,330,D01,3,K-8 Math Methods,8,25,0,MWF,10:00,10:50,Kennedy Center 117,
79221,HIST,358,D01,3,The United States Since 1941,11,13,0,TuTh,13:00,14:15,Kennedy Center 119,
80713,BIOL,331,D01,3,Microbiology,0,20,2,MWF,08:00,08:50,Ruth Habeger Science Center 101,
77907,CIS,378,D01,3,Applied Artificial Intelligence and Applications,25,25,0,TuTh,11:00,12:15,Tunheim Classroom Building 111,
70837,EPSY,302,D01,3,Educational Psychology,21,25,0,MWF,10:00,10:50,Kennedy Center 104,
75367,BADM,336,D01,3,Entrepreneurship I,14,25,0,MWF,08:00,08:50,East Hall 217,
73875,CSC,387,D02,5,Routing and Switching,14,25,0,MWF,14:00,15:25,Beacom Institute of Technology 231,
79237,MATH,201,D06,3,Introduction to Discrete Mathematics,20,20,0,MWF,14:00,14:50,Beadle Hall 206,
73885,CSC,420,D03,3,Cellular and Mobile Communications,3,25,0,MWF,11:00,11:50,Beacom Institute of Technology 233,
75734,CMST,215,DH1,3,Honors: Public Speaking,10,24,0,MWF,11:00,11:50,Beadle Hall 205,
74805,EPSY,210,D02,3,Lifespan Development,20,25,0,MWF,12:00,12:50,Kennedy Center 104,
70707,BIOL,101L,D03,1,Biology Survey I Lab,23,25,0,Tu,08:00,09:50,Ruth Habeger Science Center 106,
73870,CSC,234,D03,3,Software Security,0,25,0,TuTh,11:00,12:15,Beacom Institute of Technology 231,
70439,BADM,101,D01,3,Survey of Business,39,40,0,TuTh,14:30,15:45,East Hall 108,
73869,CSC,234,D02,3,Software Security,1,25,0,TuTh,09:30,10:45,East Hall 018,
70758,ENGL,101,D05,3,Composition I,23,24,0,TuTh,09:30,10:45,Beadle Hall 305,
70346,ACCT,210,D01,3,Principles of Accounting I,18,25,0,MWF,11:00,11:50,East Hall 010,
71453,INFS,768,D01,3,Predictive Analytics for Decision Making,22,25,0,Th,13:00,15:30,Tunheim Classroom Building 111,
74658,EPSY,210,D01,3,Lifespan Development,25,25,0,TuTh,09:30,10:45,Kennedy Center 112,
74049,PHYS,111L,D01,1,Introduction to Physics I Laboratory,8,24,0,Th,13:00,14:50,Ruth Habeger Science Center 143,
75728,CMST,101,DEM,3,Foundations of Communication,24,24,0,TuTh,13:40,14:55,Off Campus MADIHS,
78328,GS,100,DB1,0 TO 1,University Experience,40,40,0,W,12:00,12:50,East Hall 108,
80830,HON,202,DH2,1,Intermediate Honors Seminar,16,25,0,F,12:00,12:50,Beadle Hall 206,
78311,MUS,100,D02,3,Music Appreciation,21,30,0,MWF,11:00,11:50,Beadle Hall 006,
77926,EDFN,102,D01,3,Introduction to Education,23,25,0,MWF,09:00,09:50,Kennedy Center 122,
70760,ENGL,101,D06,3,Composition I,22,24,0,TuTh,11:00,12:15,Beadle Hall 305,
71221,INFA,751,D01,3,Wireless Security,16,25,0,TuTh,13:00,14:15,East Hall 201,
70757,BIOL,103,D01,2,Biology Survey II,35,48,0,MW,10:00,10:50,Ruth Habeger Science Center 106,
77942,CSC,578,D01,3,Artificial Intelligence Tools and Frameworks,21,25,0,TuTh,16:00,17:15,Beacom Institute of Technology 233,
74110,ECON,202,D01,3,Principles of Macroeconomics,12,25,0,MWF,12:00,12:50,East Hall 217,
70377,ACCT,211,D01,3,Principles of Accounting II,7,25,0,MWF,12:00,12:50,East Hall 010,
74939,CSC,285,D03,3,Networking I,14,25,0,TuTh,13:00,14:15,Beacom Institute of Technology 213,
73561,CHEM,112L,D01,1,General Chemistry I Lab,12,20,0,Tu,13:00,14:50,Ruth Habeger Science Center 136,
74448,MATH,114,D04,3,College Algebra,34,35,0,TuTh,11:00,12:15,Ruth Habeger Science Center 113,
75176,INFS,724,D01,3,Project & Change Management,25,25,0,Th,11:00,13:30,Tunheim Classroom Building 109,
71227,DAD,422,D01,3,Audio Production III  Advanced Techniques and MIDI Music,17,18,0,MWF,15:00,15:50,Tunheim Classroom Building 209,
75165,CIS,474,D01,3,Business Intelligence and Big Data,19,25,0,MWF,09:00,09:50,East Hall 108,
73956,MUS,204,D01,3,Introduction to Digital Sound Design,13,18,0,TuTh,13:00,14:15,Tunheim Classroom Building 209,
75310,EXS,482,D01,3,Theory of Strength and Conditioning,2,25,0,MWF,09:00,09:50,Kennedy Center 112,
76534,CSC,334,D02,3,Web Development,2,25,0,TuTh,09:30,10:45,Beacom Institute of Technology 117,
